t,z,theta,dz,dtheta,ddz,ddtheta,x_64,y_64
0.0,0.5,0.7853981633974483,0.0,0.0,6.936717523440031,-13.873435046880061,54.62741699796952,41.37258300203048
0.01650000000000001,0.5009710598421224,0.7834560389767695,0.11404293917170448,-0.22807676293068843,6.859709238768431,-13.71578508877277,54.6272888150787,41.284650028117355
0.03300000000000002,0.5038063288360589,0.7777865931414282,0.22563343920173098,-0.4511257250829415,6.635087776911469,-13.259340541297163,54.62547169201666,41.0274490523049
0.05000000000000004,0.5086124163762114,0.7681778463890625,0.335475492688973,-0.6707605180847335,6.25048038194911,-12.516790462565174,54.61741442478768,40.589898809393475
0.06650000000000005,0.5150024619700718,0.755394870691685,0.4346494246716492,-0.8701090276349099,5.731296324989003,-11.590464262984936,54.596699190315505,40.00497608912384
0.08300000000000006,0.5229497146061373,0.7394594196129805,0.5241409133444481,-1.053007397090723,5.073845058416126,-10.530646842936477,54.55423085204656,39.272161002550384
0.10000000000000007,0.5325773304827877,0.7200471480237841,0.6038798727186377,-1.222526909543565,4.2616047464534645,-9.374023783623784,54.476301170418964,38.37579963557978
0.11650000000000009,0.5430992230803338,0.6986118030987999,0.6671023836420122,-1.368206743310733,3.3566370955863647,-8.256107710895709,54.35501773150982,37.38428854581689
0.1330000000000001,0.5545327872447513,0.6749273497703402,0.7145982670462826,-1.4958568135959525,2.356061756858324,-7.19851552582573,54.17565424528823,36.29102235600191
0.1500000000000001,0.5669789735101439,0.6484758040155458,0.7456185245553986,-1.6099452865851587,1.2507114442913476,-6.21567733781143,53.91613462214433,35.07934433922419
0.16650000000000012,0.5794068228913682,0.6210788134735653,0.757365655767316,-1.7057331616300273,0.13497407463052014,-5.393166700591796,53.57851346514211,33.84299086675516
0.18300000000000013,0.5918711931960203,0.5922102671391459,0.750578389217054,-1.7890870443174367,-0.9906179209321238,-4.714210171601249,53.14433845761677,32.57082735057986
0.20000000000000015,0.6044285787238641,0.5611226918051563,0.7243198638246569,-1.8645042626555153,-2.1244912278084556,-4.168018838834678,52.58488656000417,31.248356873661074
0.21650000000000016,0.6160338958473306,0.5297928858405698,0.680841291485473,-1.9299960388974597,-3.164247944356447,-3.781426561919994,51.92419724784502,29.978695022085404
0.23350000000000018,0.627089311687168,0.4964346590788715,0.6188592879270425,-1.9919331186115843,-4.136755404744974,-3.5194153680584477,51.115432735342495,28.710973559282763
0.25000000000000017,0.6366817375604343,0.4630815931858847,0.5438824448555902,-2.0487610217376173,-4.952574207593585,-3.3825816345603075,50.20226284767858,27.543902074543958
0.2665000000000002,0.6449293234745124,0.4288053730219594,0.45664252435741565,-2.104147207162508,-5.6143027845219535,-3.344802227626599,49.16170881767045,26.46147675433567
0.2835000000000002,0.6518308387412073,0.3925360436546582,0.35682106415425274,-2.1612804638579473,-6.111041790405352,-3.390858247655591,47.95818724599023,25.45575477944537
0.3000000000000002,0.6568461065617716,0.35639504452934107,0.25343005265314084,-2.218023644015661,-6.39654751068997,-3.499240529744884,46.667030325794954,24.603498305263727
0.3165000000000002,0.6601245379899454,0.3193003899854346,0.14694860631072312,-2.2769298943768197,-6.478432374415661,-3.651127853765492,45.26173885229666,23.887442263272973
0.33350000000000024,0.661662692405334,0.2800409455876837,0.03758982852128033,-2.340471895041315,-6.347218604920656,-3.8319813070435313,43.70433660238428,23.30322935956203
0.35000000000000026,0.6614055234021012,0.2408775867218773,-0.06475762478323255,-2.405130984516502,-6.0158845530243354,-4.009227747370398,42.098020706011766,22.892154751905068
0.36650000000000027,0.6595148003623537,0.20062320581433662,-0.1601110124719877,-2.4725740261182585,-5.496514976074323,-4.164743837879444,40.41140218372027,22.63765554282739
0.3835000000000003,0.6560075012883498,0.15796384525726684,-0.24792410658068426,-2.544380183773398,-4.78613062980979,-4.275584037910328,38.60448326654787,22.538242094962996
0.4000000000000003,0.6512817842918124,0.11537948227428912,-0.3204119348426289,-2.6153039246572156,-3.954392483642245,-4.307370961078829,36.79858815910903,22.595102629213088
0.4170000000000003,0.645292010868289,0.07028074014088805,-0.37978301773887196,-2.688082295759754,-2.986516749470951,-4.231669674862166,34.90011357018296,22.80326433740553
0.43350000000000033,0.6386518706278413,0.025341663092415874,-0.42106316967039426,-2.7564433627743004,-1.9789101494463779,-4.023864618594765,33.035697172075196,23.139404126570334
0.45000000000000034,0.6314735320426931,-0.020689309860162507,-0.44546125359501476,-2.8201396350124575,-0.9466959033044589,-3.657442642632427,31.16391554962753,23.594343262927808
0.46700000000000036,0.6238105701049582,-0.06915091390133107,-0.4528893196808593,-2.87793444833621,0.09600118311647066,-3.092191268924611,29.2414271946428,24.1715404540396
0.4835000000000004,0.6163952446139774,-0.11703902809534267,-0.4436120949941456,-2.9232782515797178,1.0428978793060253,-2.349255270586153,27.393426519218693,24.82058693057023
0.5000000000000003,0.6092614430620633,-0.16556238307652252,-0.41950404790344326,-2.954825921200927,1.883942550966367,-1.4154280057288697,25.57372280989966,25.540461026418086
0.5169999999999985,0.6024466563369997,-0.21595193536669444,-0.381318762484185,-2.9696830254421096,2.6015304500407836,-0.27011671234534473,23.738196930433332,26.338973268849145
0.5334999999999966,0.5965455146110297,-0.26493400240534276,-0.33396226074623403,-2.964250825175649,3.1239811886981173,0.9870315852238418,22.003020635618988,27.153157577690095
0.5499999999999948,0.5914905373039118,-0.31364513941248956,-0.279493320489958,-2.937228117300292,3.4555289094310666,2.3411842161270355,20.32055123156212,27.991371024505213
